Assembly Part,Description,SC,Rev,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Description,SC,Rev,S/UOM,P/UOM,Item#,Qty,Option Flag,Product#,Product Price,Effective Date/Rev,Inactive Date/Rev,Reference
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00186 , , , , , , , , , , , , , , , , , , ,"100,0.063W,1%,0402",P, -,EA,EA,0,21,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00206 , , , , , , , , , , , , , , , , , , ,"2K,0.063W,1%,0402",P, -,EA,EA,0,10,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00242 , , , , , , , , , , , , , , , , , , ,"4.7K,0.063W,5%,0402",P, -,EA,EA,0,70,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00250 , , , , , , , , , , , , , , , , , , ,"270,0.063W,5%,0402",P, -,EA,EA,0,29,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00261 , , , , , , , , , , , , , , , , , , ,"240,0.05W,1%,0201",P, -,EA,EA,0,4,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00266 , , , , , , , , , , , , , , , , , , ,"10K,0.063W,0.1%,0402",P, -,EA,EA,0,6,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00272 , , , , , , , , , , , , , , , , , , ,"1K,0.063W,0.1%,0402",P, -,EA,EA,0,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00292 , , , , , , , , , , , , , , , , , , ,"6.2K,0.063W,1%,0402",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00301 , , , , , , , , , , , , , , , , , , ,"23.7K,0.063W,1%,0402",P, -,EA,EA,0,6,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00309 , , , , , , , , , , , , , , , , , , ,"36.5K,0.063W,1%,0402",P, -,EA,EA,0,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00310 , , , , , , , , , , , , , , , , , , ,"54.9K,0.063W,1%,0402",P, -,EA,EA,0,11,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00315 , , , , , , , , , , , , , , , , , , ,"4.42K,0.063W,1%,0402",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00323 , , , , , , , , , , , , , , , , , , ,"6.04K,0.063W,1%,0402",P, -,EA,EA,0,6,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00324 , , , , , , , , , , , , , , , , , , ,"34K,0.063W,1%,0402",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00325 , , , , , , , , , , , , , , , , , , ,"39.2K,0.063W,1%,0402",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50010-00025 , , , , , , , , , , , , , , , , , , ,"Ferrite Bead,600 ohm,0.5A,0603",PR, -,EA,EA,0,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50010-00032 , , , , , , , , , , , , , , , , , , ,"Ferrite Bead,330 ohm,2.5A,0805",PR, -,EA,EA,0,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00254 , , , , , , , , , , , , , , , , , , ,"CAT5E JACK,RJ45,RA,TH,50AU",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00302 , , , , , , , , , , , , , , , , , , ,"Jack,RJ45,2x2,RA,TH,50Au,Grn/Y",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00312 , , , , , , , , , , , , , , , , , , ,"PCB HDR,0.1"",1x2P,VRT,TH,30Au",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00339 , , , , , , , , , , , , , , , , , , ,"Shrd HDR,2mm,2x12,VRT,TH,30Au",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00382 , , , , , , , , , , , , , , , , , , ,"USB CONN,MINI-B,SMT,RA,5P",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00383 , , , , , , , , , , , , , , , , , , ,"SHRD HDR,2MM,2X25,VRT,TH,30AU",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00384 , , , , , , , , , , , , , , , , , , ,"USD CONN,PUSH/PUSH,RA,SMT,8P",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50017-00050 , , , , , , , , , , , , , , , , , , ,"LVDS,2.5V,250MHz,50,5x7P6",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50018-00010 , , , , , , , , , , , , , , , , , , ,"PB switch,SPST-NO,0.4VA,RA,PCB",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50018-00026 , , , , , , , , , , , , , , , , , , ,"PTC Fuse,6.0A,30V,Rad10",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50033-00061 , , , , , , , , , , , , , , , , , , ,"3-14.4VDC to .6-5.5VDC,12A,Dig",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50033-00063 , , , , , , , , , , , , , , , , , , ,"3-14.4VDC to .45-5.5VDC,3A,Dig",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
